ticker,carrier,fiscal_year,quarter,period_end,buyback_musd,avg_price,shares_bought,value_today_musd,spy_value_musd,debt_value_musd,even_spend_musd,even_value_musd,net_debt_ebitda_2019
DAL,Delta,2026,Q1,3/31/26,0,66.88,0,0,0,0,0,0,1.447874769
DAL,Delta,2026,Q2,6/30/26,0,75.22,0,0,0,0,0,0,1.447874769
JBLU,JetBlue,2021,Q1,3/31/21,0,17.33,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2021,Q2,6/30/21,0,19.37,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2021,Q3,9/30/21,0,15.34,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2021,Q4,12/31/21,0,14.7,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2022,Q1,3/31/22,0,14.48,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2022,Q2,6/30/22,0,10.69,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2022,Q3,9/30/22,0,8.14,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2022,Q4,12/31/22,0,7.31,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2023,Q1,3/31/23,0,7.9,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2023,Q2,6/30/23,0,7.27,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2023,Q3,9/30/23,0,6.58,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2023,Q4,12/31/23,0,4.69,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2024,Q1,3/31/24,0,6.21,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2024,Q2,6/30/24,0,6.03,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2024,Q3,9/30/24,0,5.63,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2024,Q4,12/31/24,0,6.78,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2025,Q1,3/31/25,0,6.57,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2025,Q2,6/30/25,0,4.48,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2025,Q3,9/30/25,0,4.8,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2025,Q4,12/31/25,0,4.56,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2026,Q1,3/31/26,0,5.07,0,0,0,0,0,0,1.376603774
JBLU,JetBlue,2026,Q2,6/30/26,0,5.09,0,0,0,0,0,0,1.376603774
